epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.689,1.2113,0.67409,0.93739,0.83079,0.36798,0.6077,0.37454,1.1874,0.66628,0.92249,0.00333257,0.00333257,0.00333257
2,1025.23,1.23789,0.69868,0.94511,0.7756,0.38121,0.58766,0.36015,1.2015,0.67702,0.92333,0.00600598,0.00600598,0.00600598
3,1512.65,1.27097,0.73499,0.95586,0.82331,0.3567,0.59674,0.36791,1.21296,0.69671,0.93297,0.00801939,0.00801939,0.00801939
4,1993.89,1.29029,0.75664,0.96334,0.833,0.34098,0.59314,0.36702,1.20772,0.68968,0.9295,0.00703,0.00703,0.00703
5,2474.86,1.28035,0.7445,0.95986,0.81651,0.35412,0.59419,0.36938,1.2007,0.67893,0.92662,0.00604,0.00604,0.00604
6,2989.3,1.26784,0.7309,0.95595,0.8274,0.35911,0.60152,0.37341,1.19145,0.66728,0.92385,0.00505,0.00505,0.00505
