[86192.], [23108.], 0.7885818847209515, 0.5224485837419761, 0.6832917528198735, 0.4353468977999119
[86079.], [21015.], 0.8037705193568268, 0.5220484331693827, 0.6877823992191323, 0.44748433013748024
[86567.], [20577.], 0.8079500485328156, 0.5250366937978383, 0.6913371818756243, 0.4480019682698407
[86770.], [20305.], 0.8103665654914779, 0.5261945045815368, 0.6928613079771243, 0.4512851836076348
[86747.], [19662.], 0.8152223966017912, 0.5262688522998896, 0.6955026613020406, 0.4521630110249445
[85422.], [18585.], 0.8213101041276067, 0.5179759269926932, 0.692712964480537, 0.45230512730665184
[89202.], [24483.], 0.7846417733210186, 0.5408640291041382, 0.6919160598445697, 0.4400619497465493
[85204.], [17956.], 0.8259402869329198, 0.516936144395571, 0.6941779586686643, 0.45259856078741
[88295.], [21543.], 0.8038656931116736, 0.5354489717948563, 0.6954933735450456, 0.44927603038802566
[88422.], [21008.], 0.8080233939504706, 0.536238651731729, 0.6970583051908228, 0.45368308658977236
[85428.], [19164.], 0.8167737494263424, 0.5182794394224353, 0.6913819278119826, 0.4485482754547004
[89002.], [22716.], 0.7966666069926064, 0.5396055511431499, 0.6954663585229806, 0.4512769177689616
[89873.], [22069.], 0.8028532632970645, 0.5448499545316763, 0.7008493410614909, 0.45339908116016236
[89897.], [23862.], 0.7902407721586864, 0.5452268316351285, 0.6961571757809532, 0.4493121904937821
[90800.], [22737.], 0.7997392920369572, 0.5504598279509921, 0.703025661124536, 0.4568533736403618
