total_loss,loss_cls_obj,loss_box_obj,loss_dfl_obj, mAP
2.9253883080886087,0.7464605110767656,1.204368056671821,0.9745597403400301, 0.297
2.920812263523942,0.7443282550231832,1.2026325226687293,0.9738514796496652, 0.295
2.897256439464199,0.7317339757856783,1.1965061617722823,0.9690163042246256, 0.305
2.8742119152498797,0.7216378356517281,1.18764513730036,0.964928943328183, 0.31
2.858316469345704,0.7136687269448739,1.1818438590932552,0.9628038807315811, 0.31
2.8431404018547064,0.706915749613603,1.1759153029366276,0.9603093459556904, 0.315
2.8363784374033987,0.7032136215868096,1.1741236257084013,0.9590411955177738, 0.311
2.823724552035033,0.6981423451828941,1.169782562596599,0.9557996354971637, 0.318
2.816717875322002,0.6940826141164377,1.167347081916535,0.9552881640906757, 0.317
2.809332914992271,0.691228476043278,1.163670760432766,0.9544336888201951, 0.315
2.8007466581658917,0.6868034994848018,1.1612504185986585,0.9526927192168994, 0.318
2.795290241370426,0.6845340981452861,1.1594756043276655,0.9512805280783098, 0.318
2.787989576506959,0.6813770386398762,1.1557456306027825,0.9508669093250895, 0.32
2.78454686424523,0.6793183578052551,1.1549728724884099,0.9502556300875851, 0.32
2.7779147957238552,0.6760710321998972,1.1529435965996926,0.9489001676970636, 0.33
2.7721411166924232,0.6743463171045848,1.1499244088098903,0.9478703822771775, 0.33
