total_loss,loss_cls_obj,loss_box_obj,loss_dfl_obj, cls_loss_lane, reg_xytl_loss_lane, seg_loss_lane, iou_loss_lane, mAP
3.135614769978404,0.7542882410907136,1.2111788866090705,0.9763992494600411, 0.5794145985421161, 0.43332634395248293, 0.2725137645788335, 0.6522292284017276, 0.281
3.0544036646868196,0.737280956533477,1.1997809424946009,0.9708882737580989, 0.47994301727861827, 0.30450981560475227, 0.20980331047516204, 0.4702786052915776, 0.294
3.020478128239738,0.7249893099352072,1.192045763498921,0.9668173906587465, 0.4451213021058317, 0.28527639605831473, 0.19380165361771057, 0.44205725917926636, 0.302
2.9908400812635,0.714376867980561,1.18247950161987,0.9630140064794834, 0.422121059665226, 0.2756690059395245, 0.18434026943844495, 0.4275668631209517, 0.304
2.9778616090712724,0.7089189160367169,1.1800407675485975,0.9615306061015106, 0.40928699946004354, 0.2683698104751621, 0.17814267413606868, 0.4179137011339091, 0.308
2.9615245348272157,0.7024422392008647,1.1753035070194369,0.9590379430345547, 0.4008020699244054, 0.2630273828293734, 0.17310558369330398, 0.41047332451403945, 0.304
2.9487374997300186,0.6981240275377951,1.1709829492440604,0.9572129956803476, 0.3923749535637156, 0.25809878914686757, 0.16878157208423336, 0.4049198677105834, 0.31
2.943250257829374,0.695530801295894,1.1703708544816436,0.956581387688987, 0.3856987197624191, 0.2554124770518355, 0.16549315712742954, 0.4010676071814247, 0.312
2.9273612208423296,0.6902326082613403,1.163907292656587,0.9545216268898501, 0.3770056322894159, 0.25123909449244025, 0.16249655615550732, 0.39625555966522674, 0.303
2.9203309273758093,0.6885269543736477,1.161111365550759,0.9534565013498918, 0.3692418747300223, 0.24909575323974076, 0.15986572084233247, 0.3941578485421161, 0.309
2.914463762958962,0.6854070788336938,1.1609605575054023,0.9521246325593951, 0.3637611619870413, 0.2473223898488117, 0.1576678088552913, 0.3909635083693309, 0.308
2.9075371835853163,0.6828723609611216,1.1587270469762418,0.9513863604211658, 0.35374766468682484, 0.2464084762419009, 0.15571881911447058, 0.38963907883369314, 0.31
2.8987763496220347,0.6799251374190067,1.1554045202483798,0.949876330453563, 0.3498448755399562, 0.24353675701943867, 0.15376139092872568, 0.3885605966522686, 0.317
total_loss,loss_cls_obj,loss_box_obj,loss_dfl_obj, cls_loss_lane, reg_xytl_loss_lane, seg_loss_lane, iou_loss_lane
3.135614769978404,0.7542882410907136,1.2111788866090705,0.9763992494600411, 0.5794145985421161, 0.43332634395248293, 0.2725137645788335, 0.6522292284017276,
3.0544036646868196,0.737280956533477,1.1997809424946009,0.9708882737580989, 0.47994301727861827, 0.30450981560475227, 0.20980331047516204, 0.4702786052915776,
3.020478128239738,0.7249893099352072,1.192045763498921,0.9668173906587465, 0.4451213021058317, 0.28527639605831473, 0.19380165361771057, 0.44205725917926636,
2.9908400812635,0.714376867980561,1.18247950161987,0.9630140064794834, 0.422121059665226, 0.2756690059395245, 0.18434026943844495, 0.4275668631209517,
2.9778616090712724,0.7089189160367169,1.1800407675485975,0.9615306061015106, 0.40928699946004354, 0.2683698104751621, 0.17814267413606868, 0.4179137011339091,
2.9615245348272157,0.7024422392008647,1.1753035070194369,0.9590379430345547, 0.4008020699244054, 0.2630273828293734, 0.17310558369330398, 0.41047332451403945,
2.9487374997300186,0.6981240275377951,1.1709829492440604,0.9572129956803476, 0.3923749535637156, 0.25809878914686757, 0.16878157208423336, 0.4049198677105834,
2.943250257829374,0.695530801295894,1.1703708544816436,0.956581387688987, 0.3856987197624191, 0.2554124770518355, 0.16549315712742954, 0.4010676071814247,
2.9273612208423296,0.6902326082613403,1.163907292656587,0.9545216268898501, 0.3770056322894159, 0.25123909449244025, 0.16249655615550732, 0.39625555966522674,
2.9203309273758093,0.6885269543736477,1.161111365550759,0.9534565013498918, 0.3692418747300223, 0.24909575323974076, 0.15986572084233247, 0.3941578485421161,
2.914463762958962,0.6854070788336938,1.1609605575054023,0.9521246325593951, 0.3637611619870413, 0.2473223898488117, 0.1576678088552913, 0.3909635083693309,
2.9075371835853163,0.6828723609611216,1.1587270469762418,0.9513863604211658, 0.35374766468682484, 0.2464084762419009, 0.15571881911447058, 0.38963907883369314,
2.8987763496220347,0.6799251374190067,1.1554045202483798,0.949876330453563, 0.3498448755399562, 0.24353675701943867, 0.15376139092872568, 0.3885605966522686,
2.8933869956803475,0.6781552713282933,1.1532402221922236,0.9492496760259193, 0.34497903158747345, 0.24263285151187824, 0.15219662365010808, 0.3876098474622026,
2.8900275413066985,0.6762136482181421,1.1524583010259175,0.9496864910907126, 0.3409601646868248, 0.24059942845572388, 0.1509524643628511, 0.3841788242440596,
